Date,Close,Volume,10k Earnings Sentiment,Comp 1,Comp 2,S&P Price Change,Interest rate change
9/18/2014,24.67,879100,0.148,0.0139,0.01438,0.00495,
9/19/2014,25.41,5257900,0.148,0.00225,-0.0044,0.00498,
9/22/2014,24.84,737000,0.148,-0.0086,-0.002,0.00502,
9/23/2014,24.58,940000,0.148,-0.0151,-0.0121,0.00505,
9/24/2014,24.92,964600,0.148,0.00058,0.00761,0.00501,
9/25/2014,24.629999,1350800,0.148,-0.0138,-0.0188,0.00509,
9/26/2014,24.77,1252800,0.148,0.00895,0.02074,0.00505,
9/29/2014,24.700001,1482000,0.148,-0.0035,-0.008,0.00506,
9/30/2014,24.549999,8795100,0.148,0.00348,-0.0009,0.00508,
10/1/2014,24.219999,1196600,0.148,-0.0118,-0.0134,0.00515,
10/2/2014,24.58,1253000,0.148,0.00273,0.00236,0.00514,
10/3/2014,24.83,1737500,0.148,0.01362,0.01806,0.00509,
10/6/2014,25,1057100,0.148,-0.0013,0.00154,0.00509,
10/7/2014,24.85,803600,0.148,-0.0183,-0.0223,0.00517,
10/8/2014,25.02,1074500,0.148,0.02095,0.02127,0.00509,
10/9/2014,24.549999,2536300,0.148,-0.0198,-0.0204,0.00519,
10/10/2014,24.200001,1561700,0.148,-0.0094,-0.0109,0.00525,
10/13/2014,24.459999,1726100,0.148,-0.0087,-0.0143,0.00534,
10/14/2014,24.85,1036400,0.148,-0.0273,0.01211,0.00533,
10/15/2014,24.52,1529300,0.148,-0.0201,-0.0096,0.00536,
10/16/2014,24.6,1889000,0.148,0.00585,-0.004,0.00537,
10/17/2014,24.780001,981700,0.148,0.01164,0.01019,0.00531,
10/20/2014,24.709999,938300,0.148,0.01006,0.004,0.00525,
10/21/2014,25.17,1699700,0.148,0.02582,0.02679,0.00515,
10/22/2014,25.379999,1546100,0.148,-0.0056,-0.0523,0.00519,
10/23/2014,25.809999,970100,0.148,0.00857,0.01442,0.00513,
10/24/2014,26.110001,1223100,0.148,0.01186,0.00727,0.00509,
10/27/2014,26.530001,1011400,0.148,0.00215,-0.0016,0.0051,
10/28/2014,26.85,1002300,0.148,0.00916,0.01414,0.00504,
10/29/2014,27,730100,0.148,0.00753,-0.0025,0.00505,
10/30/2014,26.790001,1038900,0.148,0.00556,-0.0019,0.00502,
10/31/2014,27.02,934600,0.148,0.01201,0.01496,0.00496,
11/3/2014,27.34,983700,0.148,0.00527,-0.0005,0.00496,
11/4/2014,27.01,999300,0.148,-0.0019,0.00706,0.00497,
11/5/2014,27.469999,587300,0.148,0.00488,0.00981,0.00494,
11/6/2014,27.58,993100,0.148,0.0099,0.01327,0.00492,
11/7/2014,28.15,1165800,0.148,-0.0041,0.00518,0.00492,
11/10/2014,28.77,1474200,0.148,-0.0002,0.00469,0.0049,
11/11/2014,29.110001,1643700,0.148,-0.0046,0.0006,0.0049,
11/12/2014,29.030001,1033700,0.148,-0.0007,-0.0056,0.0049,
11/13/2014,28.99,1656800,0.148,-0.0028,-0.0117,0.0049,
11/14/2014,29.049999,1912000,0.148,-0.0007,-0.004,0.0049,
11/17/2014,29.129999,1010300,0.148,0.00169,0.004,0.00489,
11/18/2014,28.950001,948900,0.148,-0.0032,-0.004,0.00486,
11/19/2014,28.940001,2141800,0.148,0.00169,-0.0089,0.00487,
11/20/2014,29.24,1300600,0.148,0.00225,-0.0034,0.00486,
11/21/2014,29.17,1003900,0.148,0.00617,0.00203,0.00484,
