Date,Open,High,Low,Close,Adj Close,Volume
1/2/2019,187.820007,190.990005,186.699997,190.949997,189.638885,2475200
1/3/2019,188.279999,188.279999,182.889999,183.759995,182.498245,3358200
1/4/2019,186.75,191.979996,186.029999,191.320007,190.006348,2995100
1/7/2019,191.360001,192.300003,188.660004,190.880005,189.569366,2162200
1/8/2019,193,194.110001,189.580002,191.679993,190.363861,2479800
1/9/2019,193.25,193.940002,191.380005,192.300003,190.979614,2163600
1/10/2019,190.869995,193.809998,189.399994,193.600006,192.270691,1939300
1/11/2019,191.839996,192.690002,190.860001,192.210007,190.890244,2359900
1/14/2019,190.639999,192.830002,189.800003,192.169998,190.85051,1914400
1/15/2019,188.839996,190.679993,187.860001,188.940002,187.642685,2737300
1/16/2019,188.509995,190.440002,188.419998,189.479996,188.17897,2492100
1/17/2019,188.559998,192.899994,187.899994,191.710007,190.393677,1978900
1/18/2019,194.339996,196.399994,192.360001,195.860001,194.515167,2746600
1/22/2019,194.220001,194.490005,190.429993,192.259995,190.93988,2709600
1/23/2019,192.630005,194,190.279999,192.289993,190.969681,1652900
1/24/2019,192.259995,193.169998,191.509995,192.520004,191.198105,1582800
1/25/2019,194.720001,197.160004,194.460007,195.899994,194.554886,2320100
1/28/2019,193.139999,193.449997,191.070007,193.199997,191.873428,3156600
1/29/2019,195.009995,199.889999,194.199997,196.949997,195.597687,4311100
1/30/2019,198.220001,200.110001,194.630005,199.270004,197.901764,2168100
1/31/2019,198.800003,200.889999,197.740005,200.300003,198.924683,3338400
2/1/2019,201.490005,201.770004,198.289993,199.160004,197.792511,2239400
2/4/2019,199.009995,200.259995,196.25,200.210007,198.835312,1973600
2/5/2019,200.720001,201.130005,199.729996,201.119995,199.739044,2036900
2/6/2019,201.220001,203.080002,200.25,202.570007,201.179108,1672400
2/7/2019,201.020004,202.399994,198.860001,199.839996,198.467834,1949400
2/8/2019,199.220001,199.850006,197.899994,199.820007,198.447983,1451800
2/11/2019,200.929993,201.199997,199.639999,200.910004,199.530502,1513500
2/12/2019,202.869995,206.789993,202.190002,206.570007,205.151642,2623000
2/13/2019,207.089996,210.399994,206.589996,209.720001,208.279999,2967300
2/14/2019,206.589996,207.119995,204.050003,204.929993,204.929993,2229700
