Date,Open,High,Low,Close,Adj Close,Volume
1/2/2019,69.599998,69.599998,69.599998,69.599998,69.599998,400
1/3/2019,71.510002,71.510002,71.510002,71.510002,71.510002,300
1/4/2019,73.190002,75.330002,73.190002,73.75,73.75,500
1/7/2019,73.75,75.699997,73.75,74.699997,74.699997,1000
1/8/2019,76.269997,76.449997,74.629997,76.349998,76.349998,3800
1/9/2019,77.099998,77.099998,75.309998,75.309998,75.309998,2500
1/10/2019,75.199997,76.849998,75.199997,76.800003,76.800003,2000
1/11/2019,75.650002,75.650002,74.410004,74.410004,74.410004,1100
1/14/2019,74.699997,74.699997,74.489998,74.489998,74.489998,1500
1/15/2019,74.019997,75,73.639999,73.639999,73.639999,8100
1/16/2019,73.690002,73.699997,73.660004,73.660004,73.660004,800
1/17/2019,73.730003,73.730003,73.730003,73.730003,73.730003,200
1/18/2019,73.730003,73.730003,73.730003,73.730003,73.730003,100
1/22/2019,73.529999,74.75,73.529999,74.019997,74.019997,1100
1/23/2019,74.510002,74.510002,74.510002,74.510002,74.510002,500
1/24/2019,74.089996,75.510002,74.089996,75.510002,75.510002,1100
1/25/2019,75.510002,75.510002,75.510002,75.510002,75.510002,400
1/28/2019,76.120003,76.120003,75.57,75.879997,75.879997,2500
1/29/2019,75.879997,75.879997,75.879997,75.879997,75.879997,0
1/30/2019,75.199997,75.199997,74.470001,75.07,75.07,1400
1/31/2019,75.5,76.160004,75.300003,76.160004,76.160004,300
2/1/2019,76.160004,76.160004,76.160004,76.160004,76.160004,400
2/4/2019,77.379997,77.379997,76.690002,76.75,76.75,800
2/5/2019,77.370003,78.650002,77.370003,78.650002,78.650002,6200
2/6/2019,78.650002,78.650002,78.650002,78.650002,78.650002,5200
2/7/2019,76.919998,77.550003,76.099998,76.389999,76.389999,6400
2/8/2019,75.050003,76.339996,75.050003,76.339996,76.339996,11500
2/11/2019,76.400002,76.400002,76.400002,76.400002,76.400002,200
2/12/2019,76.400002,76.400002,76.400002,76.400002,76.400002,100
2/13/2019,77,77,76.82,76.82,76.82,7700
2/14/2019,74.43,74.43,73.839996,73.839996,73.839996,600
