Date,Open,High,Low,Close,Adj Close,Volume
1/2/2019,130.190002,132.089996,129.5,131.830002,131.830002,2756000
1/3/2019,132.100006,132.979996,129.070007,130.070007,130.070007,3184000
1/4/2019,132.619995,135.039993,132.050003,134.619995,134.619995,3583600
1/7/2019,134.339996,136,133.149994,135.369995,135.369995,2944600
1/8/2019,136.059998,136.880005,134.320007,135.089996,135.089996,2636100
1/9/2019,136.199997,136.740005,135.070007,135.720001,135.720001,1992900
1/10/2019,135.220001,137.940002,134.669998,137.75,137.75,2149700
1/11/2019,136.75,137.75,136.410004,137.360001,137.360001,1890400
1/14/2019,136.339996,138.039993,135.979996,137.610001,137.610001,3100600
1/15/2019,137.429993,138.149994,136.539993,137.770004,137.770004,1841900
1/16/2019,137.520004,138.699997,137.25,138.020004,138.020004,2247300
1/17/2019,137.309998,140.630005,137.190002,139.880005,139.880005,2577400
1/18/2019,141.779999,142.509995,140.360001,141.850006,141.850006,5421600
1/22/2019,140.960007,141.149994,138.699997,139.820007,139.820007,3196500
1/23/2019,140.820007,141.289993,139.229996,140.740005,140.740005,2966300
1/24/2019,140.889999,142,140.460007,141.179993,141.179993,2707200
1/25/2019,142.5,142.699997,141.419998,141.710007,141.710007,3206300
1/28/2019,140.330002,140.789993,138.869995,140.479996,140.479996,3478300
1/29/2019,140.850006,142.210007,140.5,141.740005,141.740005,2424500
1/30/2019,142.460007,143.75,140.940002,143.279999,143.279999,3112800
1/31/2019,142.800003,144.059998,142.25,143.630005,143.630005,3473600
2/1/2019,148.699997,149,144.339996,144.710007,144.710007,5536500
2/4/2019,144.479996,148.009995,144.440002,147.929993,147.929993,4692800
2/5/2019,148.399994,148.690002,147.410004,148.690002,148.690002,2962700
2/6/2019,148.990005,149.490005,148.289993,148.899994,148.899994,3147200
2/7/2019,147.669998,148.899994,147.25,148.149994,148.149994,2961700
2/8/2019,147.979996,148.639999,147.190002,148.610001,148.610001,3952100
2/11/2019,148.990005,149.320007,148.050003,148.479996,148.479996,2977700
2/12/2019,149.199997,150.509995,148.960007,150.360001,150.360001,2654900
2/13/2019,150.990005,152.679993,150.679993,151.479996,151.479996,2759700
2/14/2019,150.929993,151.639999,149.960007,150.520004,150.520004,2110700
